question_id,section_type,question_type,difficulty,passage,stimulus,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explanation,wrong_answer_a,wrong_answer_b,wrong_answer_c,wrong_answer_d,wrong_answer_e,source,tags
LR_B1_001,Logical Reasoning,Must Be True,1,N/A,"If the factory increases production, then emissions will rise. The factory has increased production today.",Emissions will fall.,Emissions will remain stable.,Emissions will rise.,Production will halt.,The factory will close.,C,The premises establish a sufficient condition that has been met.,Incorrect. Contradicts the premise.,Incorrect. Contradicts the conditional statement.,Correct. Direct application of modus ponens.,Incorrect. Out of scope.,Incorrect. Out of scope.,custom_gemini_generated,"logic, conditional"
LR_B1_002,Logical Reasoning,Must Be True,1,N/A,All members of the chess club are students. Sarah is a member of the chess club.,Sarah is a teacher.,Sarah is a student.,Sarah plays checkers.,Sarah is the club president.,Students are not club members.,B,"Since Sarah belongs to a group entirely composed of students, she must be a student.",Incorrect. Contradicts the premise.,Correct. Follows directly from the premises.,Incorrect. Unsupported by the text.,Incorrect. Unsupported by the text.,Incorrect. Contradicts the first premise.,custom_gemini_generated,"logic, formal"
LR_B1_003,Logical Reasoning,Must Be True,1,N/A,Only licensed drivers can operate the company vehicle. John operates the company vehicle.,John is unlicensed.,John owns the vehicle.,John is a licensed driver.,John is a mechanic.,The vehicle is broken.,C,"Operating the vehicle requires a license, so John must have one.",Incorrect. Contradicts the logical deduction.,Incorrect. Ownership is not discussed.,Correct. Valid application of a necessary condition.,Incorrect. Irrelevant detail.,Incorrect. Irrelevant detail.,custom_gemini_generated,"logic, necessary_condition"
LR_B1_004,Logical Reasoning,Must Be True,1,N/A,"Every time it snows, the local school closes. The local school is open today.",It is snowing heavily.,It is raining.,The school is closed.,It is not snowing.,Students are on break.,D,"Modus tollens applies; since the necessary result did not occur, the sufficient trigger did not happen.",Incorrect. Contradicts the premise.,Incorrect. Could be true but doesn't have to be.,Incorrect. Contradicts the prompt.,Correct. Valid contrapositive.,Incorrect. Out of scope.,custom_gemini_generated,"logic, contrapositive"
LR_B1_005,Logical Reasoning,Must Be True,1,N/A,"To bake a cake, one must have flour. Mary baked a cake today.",Mary used sugar.,Mary hates baking.,Mary had flour.,Mary baked a pie.,Mary bought a cake.,C,Baking a cake guarantees that the necessary condition (having flour) was met.,Incorrect. Plausible but not strictly necessary.,Incorrect. Subjective and unsupported.,Correct. Necessary condition fulfilled.,Incorrect. Unrelated to the stimulus.,Incorrect. Contradicts the premise.,custom_gemini_generated,"logic, necessary_condition"
LR_B1_006,Logical Reasoning,Must Be True,1,N/A,No reptiles have fur. The newly discovered animal has fur.,The animal is a reptile.,The animal is a mammal.,The animal is not a reptile.,The animal is extinct.,The animal has scales.,C,"Because having fur mutually excludes being a reptile, the animal cannot be one.",Incorrect. Direct contradiction of premises.,Incorrect. Plausible but not logically proven.,Correct. Valid deduction.,Incorrect. Extinction is out of scope.,Incorrect. Unsupported by the text.,custom_gemini_generated,"logic, conditional"
LR_B1_007,Logical Reasoning,Must Be True,1,N/A,"If the alarm sounds, the building must be evacuated. The alarm is currently sounding.",The building must be evacuated.,It is a false alarm.,The building is safe.,The alarm is broken.,Nobody is inside.,A,"The sufficient condition has occurred, so the necessary condition must follow.",Correct. Application of modus ponens.,Incorrect. Speculative.,Incorrect. Contradicts the implication of the alarm.,Incorrect. Speculative.,Incorrect. Out of scope.,custom_gemini_generated,"logic, conditional"
LR_B1_008,Logical Reasoning,Must Be True,1,N/A,All squares are rectangles. Shape X is a square.,Shape X is a circle.,Shape X is a triangle.,Shape X is a rectangle.,Shape X is a pentagon.,Shape X is an oval.,C,"Since X is a subset of squares, and squares are a subset of rectangles, X is a rectangle.",Incorrect. Contradicts the premise.,Incorrect. Contradicts the premise.,Correct. Valid categorical logic.,Incorrect. Contradicts the premise.,Incorrect. Contradicts the premise.,custom_gemini_generated,"logic, categorical"
LR_B1_009,Logical Reasoning,Must Be True,1,N/A,Birds are the only animals that have feathers. A pigeon is a bird.,Pigeons definitely have feathers.,A pigeon might be a mammal.,A pigeon could be a reptile.,Some birds lack feathers.,"If an animal has feathers, it is a bird.",E,"The prompt states feathers are exclusive to birds, creating a necessary condition.","Incorrect. Pigeons might not have feathers, but if an animal has feathers, it's a bird.",Incorrect. Pigeons are birds.,Incorrect. Pigeons are birds.,Incorrect. The stimulus doesn't prove this.,Correct. Rephrases the exclusivity of the premise.,custom_gemini_generated,"logic, formal"
LR_B1_010,Logical Reasoning,Must Be True,1,N/A,Any car parked in the red zone will be towed. My car was parked in the red zone.,My car is safe.,My car got a ticket.,My car will be towed.,My car was stolen.,My car is blue.,C,The stated consequence for parking in the red zone must apply to the speaker's car.,Incorrect. Contradicts the rule.,Incorrect. A ticket isn't mentioned.,Correct. Direct application of the rule.,Incorrect. Out of scope.,Incorrect. Irrelevant detail.,custom_gemini_generated,"logic, conditional"
